project_id,building_id,designation_id,project_halted,project_general_last_update,building_count,designation_count,gush,helka,X,Y,municipality_id,municipality_name,building_info_last_update,building_street,building_address_number,building_address_entrance,building_migrash,floors_above_ground,building_area,standard_name_id,standard_name,standard_designation_id,standard_designation_name,standard_designation_main_use,main_use_name,route,designation_area,residential_units,designation_info_last_update,certification_status,certificate_date_pre,certificate_insert_date_pre,certificate_score_pre,certificate_stars_pre,certificate_energy_pre,certificate_date_a,certificate_insert_date_a,certificate_score_a,certificate_stars_a,certificate_energy_a,certificate_date_b,certificate_insert_date_b,certificate_score_b,certificate_stars_b,certificate_energy_b,designation_info_status
3819,4248,4935,הבדיקה בוצעה,02/12/2024,1,1,6422,207,183661.36583179285,674469.4064894186,670,הרצליה,02/12/2024,יצחק שמיר,2,,406,5,3200,5,2016 סיוון התשע״ו - מאי,21,התקהלות ציבורית - חדש + ג.ת 1,70,התקהלות ציבורית,חדש,3200,0,15/08/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3820,4249,4936,הבדיקה בוצעה,02/12/2024,1,1,6144,532,183271.73983198561,663494.69976982,71,רמת גן,02/12/2024,פנחס רוטנברג,8,,,6.5,3179,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3179,18,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3821,4250,4937,הבדיקה בוצעה,02/12/2024,1,1,7136,224,176301,658868,16,בת ים,02/12/2024,הרשת,,,,10,0.557,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0.557,26,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3828,4265,4949,הבדיקה בוצעה,02/12/2024,2,1,6180,649,184165.9857397456,663144.13361996,71,רמת גן,02/12/2024,ארנון 15-17,,,,5,2472,5,2016 סיוון התשע״ו - מאי,21,התקהלות ציבורית - חדש + ג.ת 1,70,התקהלות ציבורית,חדש,2472,,02/12/2024,שלב א,,,,,,13/11/2024,14/11/2024,60.5,1,,,,,,,לא סופי
3828,4266,4950,הבדיקה בוצעה,02/12/2024,2,1,6180,649,184165.9857397456,663144.13361996,71,רמת גן,02/12/2024,ארנון 15-17,,,,5,1730,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1730,18,02/12/2024,שלב א,,,,,,24/11/2024,14/11/2024,61.5,1,B,,,,,,לא סופי
3829,4267,4951,הבדיקה בוצעה,02/12/2024,1,1,6217,268,179600.9596816656,665594.1171429581,1216,תל אביב - יפו,02/12/2024,שטרוק 6,,,,8,656,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,656,16,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3832,4270,4954,הבדיקה בוצעה,02/12/2024,1,1,7134,134,176711.7500114118,658647.863073432,16,בת ים,02/12/2024,ההסתדרות/הפועל 7-9,,,,8,16555.48,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,16555.48,104,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3834,4272,4956,הבדיקה בוצעה,02/12/2024,1,1,6625,"1009,1256",183281,669801,1216,תל אביב - יפו,02/12/2024,"זאב ",9,,,9,854,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,854,22,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3835,4273,4957,הבדיקה בוצעה,02/12/2024,1,1,3925,745,181711.89963246748,650811.9587902,67,ראשון לציון,02/12/2024,"יובלים ",3,,10,17,3930,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3930,70,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3836,4274,4958,הבדיקה בוצעה,02/12/2024,1,1,6901,116,178900.9765816656,666199.6989638819,1216,תל אביב - יפו,02/12/2024,פרנקפורט 6,,,,5,260,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,260,2,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
